iterations,test-F1-mean,test-F1-std,train-F1-mean,train-F1-std,test-Logloss-mean,test-Logloss-std,train-Logloss-mean,train-Logloss-std
54,0.7018907750021981,0.06178396256497462,0.9800037466794107,0.004483663643540037,0.8205624362659325,0.3179752007852366,0.05561765265199693,0.009892752962221347
55,0.6981977871948744,0.06309751491233334,0.9811402899207872,0.003598895425795763,0.8300412801945605,0.3149450085929223,0.0528799750200214,0.009455132916863297
56,0.6918355082634221,0.06567541702085619,0.9815167964584959,0.0035034757216053855,0.8550681062731987,0.35803176624425714,0.050878166137075985,0.009377144908530298
57,0.6909888762294834,0.06639204251945806,0.9833761336422271,0.004399195756683352,0.8554132625860357,0.3644265471639198,0.04812968840732467,0.009828037788527994
58,0.6956286961047582,0.06981939026924498,0.9856311545412595,0.002756436713061457,0.8650734712821941,0.3734108346685899,0.04529484935107415,0.009166576065802672
59,0.7011259585495836,0.06895931211368116,0.9856339100432961,0.002414714694668078,0.8545668008317998,0.36003052949098563,0.04252704914346925,0.01003088644974213
60,0.7017930214554302,0.06544580897254354,0.9871207111784491,0.0034744039577477653,0.8612186221352907,0.35982389234685297,0.0407467635721112,0.01010223087788826
61,0.7029523172905525,0.06738436796226392,0.9882203115286075,0.004259700164306945,0.8690786436197445,0.3684782503237032,0.0389430819046043,0.010653994701441329
62,0.699746628082955,0.06409851861016927,0.9893279423658434,0.0046058917762206945,0.8852858952609651,0.36641404231891256,0.036074853068368676,0.011255898062333817
63,0.7038967098809619,0.06447393962924261,0.9900768027956242,0.003075121168043375,0.8846534710770573,0.357892507246419,0.034100812285268275,0.008565735420695159
64,0.7029124579124579,0.0659071988238462,0.9900768027956242,0.003075121168043375,0.8897295779032011,0.3585142464027857,0.03289686729387398,0.008539304314660892
65,0.7061482984483398,0.06652321681625796,0.9908174812530245,0.002902441668542429,0.8935229521815771,0.359102279284405,0.031084290175214614,0.007619995726119147
66,0.7072817705741785,0.06733911641253577,0.9908174812530245,0.002902441668542429,0.8953553404640722,0.36482119605169605,0.030223912885364402,0.006999113947117602
67,0.7033462980595947,0.07084088012882352,0.9904545193773657,0.0023931650669826144,0.9003631272433281,0.36991500127076976,0.029278577897141916,0.0071560091419027565
68,0.7003707919986989,0.07713622699627479,0.990825524519013,0.0018319415804646758,0.9157637323612537,0.3944225052276132,0.02814109007334601,0.007163981249568044
69,0.7005142552266175,0.0785422350291299,0.9922907357601753,0.0015510098499023014,0.9193368722853036,0.39128902894844636,0.026836397571064784,0.006532032542886735
70,0.7036282807785758,0.07456300038728071,0.9922907357601753,0.0015510098499023014,0.9193843513607634,0.39085955430405916,0.025837505267053286,0.006570999069738686
71,0.7078047027067355,0.07457188990723586,0.993030114967158,0.0020111316500609376,0.9269545153530718,0.3867135506168628,0.024407177676083396,0.0066717364784906795
72,0.7108343508343509,0.07131765829399958,0.993030114967158,0.0020111316500609376,0.9310703676318809,0.3748422130624013,0.02324788240992065,0.006053626387302465
73,0.7121017751997402,0.06544550585768248,0.9930355414920115,0.002009784317004621,0.9458731494052524,0.37175998456532766,0.022404951625387446,0.005650542699516115
74,0.7121017751997402,0.06544550585768248,0.993030114967158,0.0020111316500609376,0.9480545099666742,0.37477841514591687,0.021649796938241223,0.005265609770225135
75,0.7131352455461876,0.06468549625728841,0.993030114967158,0.0020111316500609376,0.9576931938616916,0.3877260594494168,0.0210109171668177,0.0054646030503104626
76,0.7182734461365248,0.06568153894629389,0.9933984242934197,0.002096425865199501,0.9559044030450512,0.3889911749087708,0.020252189910228886,0.005620235010787146
77,0.7147297030578978,0.06316889820336762,0.9934038508182734,0.0020939406142478217,0.9567442222070273,0.3916665323740392,0.019419223192498256,0.005262757065047122
78,0.7166094770306951,0.058267819416223145,0.9941296857193797,0.003018439259805579,0.9616017894179814,0.393869289783937,0.01868113410905013,0.005475276480370624
79,0.7121562948375534,0.05973946352076158,0.9937627205877393,0.00278334564444614,0.9681304187938636,0.4010089697728667,0.018281402313568465,0.005493899034491533
80,0.7130244289368377,0.05667824105933217,0.9941296857193797,0.003018439259805579,0.9791221697422738,0.40090098397210694,0.017913965293844807,0.005540911816542565
81,0.7122278511881794,0.05777358569972669,0.9941296857193797,0.003018439259805579,0.9876981617463272,0.40344553395599286,0.017373555709766064,0.005504377040570627
82,0.7139882633822542,0.060939986446678245,0.9941296857193797,0.003018439259805579,1.000789241196188,0.4127596596967433,0.016905096507713546,0.005350333171813489
83,0.7144201947922878,0.05823569610976548,0.9941296857193797,0.003018439259805579,1.014233799739489,0.41885785668299313,0.016235546303017635,0.005496854357932946
84,0.7103041364286438,0.05797983546377131,0.9941296857193797,0.003018439259805579,1.0180302712552918,0.42292839017970285,0.015865768914148513,0.005504625805942843
85,0.7092964800327521,0.06369447281221738,0.9941296857193797,0.003018439259805579,1.0293344924753867,0.4329206971162479,0.015571033627854136,0.005421380386456231
86,0.7090008399535781,0.06742786473403586,0.9941296857193797,0.003018439259805579,1.0346062741268796,0.43894840395047946,0.015132846632755983,0.005237388114814038
87,0.706152836868592,0.06480787206747061,0.9941296857193797,0.003018439259805579,1.0512335666275594,0.4593557535667203,0.014666428366621085,0.005256104693984624
88,0.7053187565927977,0.0625850784069588,0.9941296857193797,0.003018439259805579,1.0595447617218887,0.4576104847059334,0.014261712260321227,0.005356952888519877
89,0.7071098013689173,0.06570220007566031,0.9941296857193797,0.003018439259805579,1.0619994917817919,0.4587469959093517,0.01389269533341841,0.005074178078038612
90,0.7032753038623222,0.06410328934553242,0.9944993565234812,0.0029024211255833034,1.0663762217147972,0.4569689001148539,0.013483176016129503,0.004881355397285199
91,0.7012001696941648,0.0659339554625644,0.994864984805826,0.003283964248558782,1.0782255401625356,0.46899240289302446,0.01314748579182568,0.0049055600428358544
